Order ID,Order Amount (INR),Delivery Time (mins),Order Date,Rating,Number of Items,Delivery Distance (km),Delivery Agent ID,Order Status,Payment Method,Tip Amount (INR),Promo Code Applied,Has Free Delivery,res_id,name,type,address,city,locality,latitude,longitude,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,votes,photo_count,opentable_support,delivery,state,area,Month,Year,Day,Quarter,Is_Delivered,Is_Cancelled,Has_Promo,Free_Delivery,Completed_Revenue
1,1930,32,2023-04-30,4.6,9,9.200017258300782,995,Cancelled,Debit Card,15,No,No,900612,Bakery B by Best Bakers,Bakery,"2/558, Vishnupuram, Cheranalloor, Kochi",Kochi,Cheranalloor,10.051286,76.288932,Bakery,9 AM to 9:30 PM (Mon-Sun),200,1,"['Credit Card', 'Delivery', 'Takeaway Available', 'No Alcohol Available', 'Desserts and Bakes', 'Indoor Seating']",0.0,3,0,0.0,0,Kerala,38863,April,2023,Sunday,2,0,1,0,0,0
2,371,84,2023-01-06,2.7,1,8.175073883757616,941,Cancelled,UPI,154,Yes,No,18347575,G Chakna- G Hotel,Casual Dining,"B 2/1, Central Business Park, Kamla Nagar, Agra",Agra,Kamla Nagar,27.20893093,78.01827863,"Chinese, Continental, North Indian",12Noon to 11:30PM (Mon-Sun),1000,3,"['Cash', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Credit Card', 'Lunch', 'Valet Parking Available', 'Indoor Seating', 'Pure Veg', 'Buffet']",3.6,32,30,0.0,1,Uttar Pradesh,240928,January,2023,Friday,1,0,1,1,0,0
3,1389,82,2024-02-18,3.9,5,13.28044337315316,469,Delivered,Debit Card,99,No,Yes,18369272,Fabelle Chocolate Boutique - ITC Grand Chola,Dessert Parlour,"ITC Grand Chola, 63, Mount Road, Guindy, Chennai",Chennai,"ITC Grand Chola, Guindy",13.0115456,80.2201201,"Desserts, Ice Cream",11 AM to 12 Midnight (Mon-Sun),1300,3,"['Cash', 'Debit Card', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']",4.4,174,429,0.0,0,Tamil Nadu,130058,February,2024,Sunday,1,1,0,0,1,1389
4,329,50,2023-07-06,1.9,1,11.89289263026552,329,In-Transit,UPI,80,Yes,No,311378,Green Chick Chop,Butcher Shop,"BE 359-A, Swargashram Road, Hari Nagar, Mayapuri Phase 2, New Delhi",New Delhi,Mayapuri Phase 2,28.63076925,77.11854335,"Raw Meats, Fast Food, North Indian",11 AM to 11 PM,400,1,"['Delivery', 'No Alcohol Available', 'Lunch', 'Cash', 'Debit Card', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Credit Card']",3.5,33,48,0.0,0,Delhi,1484,July,2023,Thursday,3,0,0,1,0,0
5,400,19,2024-06-21,3.4,4,2.570476368608756,172,Cancelled,Credit Card,57,No,Yes,100441,The Verandah - Taj Rambagh Palace,Fine Dining,"Taj Rambagh Palace, Bhawani Singh Road, Near C Scheme, C Scheme, Jaipur",Jaipur,"Taj Rambagh Palace, C Scheme",26.8955586,75.80737397,"North Indian, Continental",11 AM to 11 PM,4000,4,"['Cash', 'Dinner', 'Credit Card', 'Lunch', 'Outdoor Seating', 'Air Conditioned', 'Wheelchair Accessible', 'Fullbar', 'Valet Parking Available', 'Indoor Seating', 'Luxury Dining', '4/5 Star', 'Table booking recommended']",4.1,112,134,0.0,0,Rajasthan,342239,June,2024,Friday,2,0,1,0,1,0
6,941,85,2023-08-03,2.1,4,14.06006295791931,638,In-Transit,Debit Card,71,Yes,Yes,111271,Bera Samosa,Quick Bites,"Below Alif Masjid, Karanj Police Station, Bhadra, Ahmedabad",Ahmedabad,Bhadra,23.02473388,72.58207429,Street Food,11 AM to 10 PM,100,1,"['No Alcohol Available', 'Cash', 'Takeaway Available', 'Free Parking', 'Pure Veg', 'Outdoor Seating']",3.6,35,19,0.0,0,Gujarat,196024,August,2023,Thursday,3,0,0,1,1,0
7,1033,40,2023-05-03,2.9,7,3.66761755274797,518,In-Transit,Credit Card,169,Yes,Yes,18950125,Coffee anni barach kahi,Café,"khamang chopati, near Dmart, sai nagar, Sai Nagar, Amravati",Amravati,Sai Nagar,20.89789807,77.74783183,"Fast Food, Cafe",Not Available,150,1,[],0.0,0,0,0.0,0,Maharashtra,307713,May,2023,Wednesday,2,0,0,1,1,0
8,1198,12,2024-02-04,2.9,8,5.019083831309124,574,Delivered,UPI,89,No,No,19146585,Ketofy,Confectionery,"Shop 175, 1st Floor, Sapphire Mall, Sector 49, Gurgaon",Gurgaon,"The Sapphire Mall, Sector 49, Gurgaon",28.412043,77.048723,Healthy Food,11 AM to 11 PM,300,1,"['No Seating Available', 'Mall Parking', 'Delivery', 'Breakfast', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",3.7,0,7,0.0,0,Haryana,44212,February,2024,Sunday,1,1,0,0,0,1198
9,1811,84,2024-02-18,1.5,2,4.509203804519088,435,Delivered,UPI,107,No,Yes,18729965,Gauganga Natural Food Products,Dessert Parlour,"Opposite Venus Book Depot, Ramnagar Road, Dharampeth, Nagpur",Nagpur,Dharampeth,21.14049417,79.05771375,Desserts,6:30 AM to 9:30 PM,150,1,"['Cash', 'Delivery', 'Debit Card', 'No Seating Available', 'Takeaway Available', 'Credit Card', 'Desserts and Bakes', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",3.4,33,9,0.0,1,Maharashtra,307713,February,2024,Sunday,1,1,0,0,1,1811
10,1226,60,2023-01-13,2.8,8,1.628978470888652,660,Cancelled,Net Banking,90,Yes,Yes,2101435,Oryza - The Ethnic Kitchen,Casual Dining,"Pamohi, Deepor Bill Road, near HP Petrol pump Guwahati",Guwahati,Maligaon,26.102662,91.68936,"North Eastern, Assamese",10 AM to 9 PM,700,2,"['Cash', 'Takeaway Available', 'Lunch', 'Breakfast', 'Dinner', 'Indoor Seating']",4.2,48,55,0.0,0,Assam,78438,January,2023,Friday,1,0,1,1,1,0
11,726,29,2023-01-05,2.2,5,13.59382714821248,868,In-Transit,Cash,128,Yes,Yes,17953943,The Burger Club,Quick Bites,"Z-9, Opposite Metro Pillar 420, Rajouri Garden, New Delhi",New Delhi,Rajouri Garden,28.64613134,77.11736083,"Burger, Fast Food, Beverages","11am – 4am (Mon, Wed, Thu, Fri, Sat, Sun), 12noon – 4am (Tue)",350,1,"['Cash', 'Debit Card', 'Takeaway Available', 'Dinner', 'Credit Card', 'Delivery', 'Lunch', 'Indoor Seating', 'Wheelchair Accessible', 'Free Parking', 'Air Conditioned']",4.3,2645,1230,0.0,1,Delhi,1484,January,2023,Thursday,1,0,0,1,1,0
