Year,Month_Number,Month_Name,Total_Orders,Revenue,Avg_Order_Value,Avg_Delivery_Time,Avg_Rating
2023,1,January,489,264077,1505.1678082191781,48.72431506849315,2.9407534246575344
2023,2,February,409,289852,1564.8615071283095,49.19551934826884,2.9484725050916496
2023,3,March,463,293401,1638.848598130841,49.773831775700934,3.1123364485981306
2023,4,April,493,266063,1520.1039182282793,48.99148211243612,2.9589437819420783
2023,5,May,489,360492,1603.5250836120401,49.53511705685619,3.066722408026756
2023,6,June,484,296831,1532.9695885509839,50.1824686940966,3.125581395348837
2023,7,July,497,327002,1555.7430441898528,50.196399345335514,2.963175122749591
2023,8,August,460,314194,1561.3879003558718,48.84875444839858,2.990747330960854
2023,9,September,478,290862,1504.0485268630848,49.04852686308492,3.0249566724436745
2023,10,October,491,284516,1618.4578313253012,48.03270223752151,3.099655765920826
2023,11,November,445,290646,1563.003861003861,50.648648648648646,2.972200772200772
2023,12,December,447,305649,1607.3969754253308,48.63137996219282,2.9561436672967862
2024,1,January,485,331550,1646.1528998242532,50.27943760984183,2.9282952548330403
2024,2,February,455,285601,1601.4883303411132,49.987432675044886,2.8339317773788153
2024,3,March,482,334430,1651.087260034904,47.94764397905759,3.1263525305410123
2024,4,April,458,332627,1563.0927272727272,50.14181818181818,3.013272727272727
2024,5,May,463,282828,1586.7981651376147,50.12844036697248,3.0291743119266057
2024,6,June,488,289666,1634.1338028169014,50.36795774647887,2.987147887323944
2024,7,July,525,306128,1590.0722495894909,49.308702791461414,3.04384236453202
2024,8,August,482,279384,1582.6240875912408,49.59124087591241,2.9503649635036497
2024,9,September,502,326209,1554.0936454849498,50.824414715719065,3.0006688963210704
2024,10,October,15,8486,1243.7777777777778,48.05555555555556,2.9388888888888887
