name,Total_Orders,Revenue,Avg_Order_Value,Avg_Rating
Domino's Pizza,62,48110,1558.0757575757575,2.8924242424242426
Cafe Coffee Day,51,21819,1534.6545454545455,2.929090909090909
KFC,44,25153,1384.4262295081967,3.0508196721311474
Subway,34,18058,1243.5,3.0782608695652174
Keventers,29,25903,1723.125,2.9375
McDonald's,27,22813,1625.4285714285713,3.4028571428571426
Baskin Robbins,27,14179,1547.258064516129,3.1258064516129034
Burger King,23,28822,1569.2432432432433,2.835135135135135
Pizza Hut,21,12274,1579.655172413793,3.382758620689655
The Chocolate Room,18,18102,1537.2083333333333,3.0416666666666665
Lassi Shop,16,10810,1487.2083333333333,3.529166666666667
WOW! Momo,14,9390,1372.7333333333333,3.2866666666666666
ibaco,14,16928,1629.3076923076924,3.1692307692307695
Barbeque Nation,14,15539,1731.0,2.96
Natural Ice Cream,14,8145,1734.9375,3.26875
Frozen Bottle,14,14505,1764.25,3.3199999999999994
Monginis,13,1576,1661.3125,3.1625
The London Shakes,13,4259,1615.142857142857,2.992857142857143
Drunken Monkey,13,1962,1346.8461538461538,3.0384615384615383
Kanti Sweets,12,5850,1490.75,3.1999999999999997
Giani's,12,11711,1648.2142857142858,3.1357142857142857
Cream Stone,12,7333,1252.9333333333334,2.8
Behrouz Biryani,11,10216,1770.3846153846155,2.646153846153846
The Belgian Waffle Co.,11,5981,1107.6363636363637,2.872727272727273
Mad Over Donuts,10,14819,1654.8333333333333,2.408333333333333
Green Chick Chop,10,6279,1517.0,3.1599999999999997
Starbucks Coffee,9,18603,2226.0,3.4200000000000004
Mainland China,9,9570,1523.7058823529412,2.7411764705882353
Chicago Pizza,9,7032,1351.3333333333333,2.488888888888889
Tea Villa Cafe,9,7857,1751.2307692307693,3.5153846153846158
Goli Vada Pav No. 1,8,2764,1669.5,2.725
The French Loaf,8,1643,1429.4545454545455,3.472727272727273
Loft,8,4308,1974.9333333333334,2.6599999999999997
Paradise,8,3070,1226.4666666666667,3.566666666666667
US Pizza,8,5924,1541.1,3.15
Sri Krishna Sweets,8,10131,1581.0,2.3000000000000003
Polar Bear,7,6112,1790.142857142857,3.057142857142857
Sanchi Parlour,7,6013,1541.7142857142858,2.3714285714285714
Sagar Ratna,7,6037,1355.6666666666667,3.011111111111111
Barista,7,6175,1188.857142857143,2.542857142857143
Moti Mahal Delux,7,4439,1438.2857142857142,3.5
Dessi Cuppa,7,6524,1424.0,3.436363636363636
Tea Junction,7,5079,1671.2857142857142,3.3285714285714287
Hira Sweets,7,4297,2068.818181818182,3.627272727272727
The ThickShake Factory,7,3129,1097.125,2.425
A2B - Adyar Ananda Bhavan,7,7797,2149.75,2.5
Havmor,7,3837,1696.5714285714287,3.2285714285714286
Burgrill,7,2054,1427.7142857142858,3.414285714285714
Berco's,7,3900,1857.4285714285713,3.1142857142857143
Vadilal,6,1082,2017.3333333333333,1.9333333333333333
Wat-a-Burger!,6,10668,1889.0,2.6750000000000003
7th Heaven,6,2689,1133.2857142857142,2.942857142857143
Dilli BC,6,0,1265.6666666666667,2.15
Dunkin' Donuts,6,1928,1490.0,2.766666666666667
Taco Bell,6,5529,1850.75,2.5875
Dairy Don,6,3677,1119.75,2.9
Little Italy,6,2793,1298.0,2.9
La Pino'z Pizza,6,2677,1471.6666666666667,2.85
House Of Candy,6,4449,1342.6666666666667,2.25
Candy and Green,5,23360,1519.6,2.02
Haldiram's,5,5229,1866.0,2.66
Goli Vada Pav,5,7722,1851.857142857143,2.857142857142857
Giani Ice Cream,5,887,1784.6,3.2
Slice of Italy,5,6283,1478.0,2.56
The Yellow Chilli,5,4124,1470.3333333333333,2.933333333333333
Kailash Parbat,5,0,1628.1666666666667,3.266666666666667
